駅ID	駅名(漢字)	駅格	略称	駅名(ひらがな)	駅名(カタカナ)	駅名(ローマ字)	駅名(簡体字)	駅名(繁体字)	駅名(韓国語)	住所	駅番号	自社	連動駅	線路数
0490	高木	停留場	高　木	たかぎ	キタロッコウダイ	Takagi	高木	高木	다카기	三木市別所町高木	F38	TRUE	FALSE	1番線,2番線
0401	西大島	停留場	西大島	にしおおしま	カミヤマグチ	Nishi-Oshima	西大岛	西大島	니시오시마	尼崎市大島１丁目	N10	TRUE	FALSE	1番線,2番線
0402	守部	停留場	守　部	もりべ	スミレダイ	Moribe	守部	守部	모리베	尼崎市水堂町４丁目	N11	TRUE	FALSE	1番線,2番線
0403	武庫	停留場	武　庫	むこ	オカバ	Muko	武库	武庫	무코	尼崎市武庫之荘西２丁目	N12	TRUE	FALSE	1番線,2番線
0410	時友	停車場	時　友	ときとも	ヤナギダニ	Tokitomo	时友	時友	도키토모	尼崎市武庫之荘９丁目	N13	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線
0411	昆陽	停留場	昆　陽	こや	ビョウブツジ	Koya	昆阳	昆陽	고야	伊丹市奥畑２丁目	N14	TRUE	FALSE	1番線,2番線
0412	鳥島	停車場	鳥　島	とりしま	カミオウゴ	Torishima	鸟岛	鳥島	도리시마	宝塚市安倉南２丁目	N15	TRUE	TRUE	1番線,2番線
0413	小浜	停留場	小　浜	こはま	ヒガシバタ	Kohama	小滨	小濱	고하마	宝塚市小浜２丁目	N16	TRUE	FALSE	1番線,2番線
0420	歌劇場前	停車場	歌劇場	かげきじょうまえ	オウゴ	Kagekijo-mae	歌剧场前	歌劇場前	가게키조마에	宝塚市栄町１丁目	N17	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線
0430	宝塚	停車場	宝　塚	たからづか	トダ	Takarazuka	宝冢	寶塚	다카라즈카	宝塚市栄町２丁目	N18	TRUE	TRUE	1番線,2番線,引上3番線
0431	生瀬	停留場	生　瀬	なまぜ	ミサカ	Namaze	生濑	生瀨	나마제	西宮市生瀬町１丁目	N19	TRUE	FALSE	1番線,2番線
0432	木之本	停留場	木之本	きのもと	ナカシジミ	Kinomoto	木之本	木之本	기노모토	西宮市名塩木之元	N20	TRUE	FALSE	1番線,2番線
0433	名塩	停留場	名　塩	なじお	ナカノ	Najio	名盐	名鹽	나지오	西宮市名塩２丁目	N21	TRUE	FALSE	1番線,2番線
0434	東久保	停留場	東久保	とうくぼ	アリマオンセン	Tokubo	东久保	東久保	도쿠보	西宮市名塩東久保	N22	TRUE	FALSE	1番線,2番線
0435	北六甲台	停留場	北六甲	きたろっこうだい	デキジマ	Kita-rokkodai	北六甲台	北六甲台	기타롯코다이	西宮市北六甲台３丁目	N23	TRUE	FALSE	1番線,2番線
0440	上山口	停車場	上山口	かみやまぐち	フク	Kami-Yamaguchi	上山口	上山口	가미야마구지	西宮市山口町上山口４丁目	N24	TRUE	TRUE	1番線,2番線
0441	すみれ台	停留場	すみれ	すみれだい	デンポウ	Sumiredai	堇台	菫台	스미레다이	西宮市すみれ台３丁目	N31	TRUE	FALSE	1番線,2番線
0450	岡場	停車場	岡　場	おかば	チドリバシ	Okaba	冈场	岡場	오카바	神戸市有馬区有野中町１丁目	N32	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線
0451	柳谷	停留場	柳　谷	やなぎだに	ニシクジョウ	Yanagidani	柳谷	柳谷	야나기다니	神戸市有馬区八多町柳谷	N33	TRUE	FALSE	1番線
0452	屏風辻	停留場	屏風辻	びょうぶつじ	クジョウ	Byobu-tsuji	屏风辻	屏風辻	뵤부쑤지	神戸市有馬区八多町屏風	N34	TRUE	FALSE	1番線
0453	上淡河	停留場	上淡河	かみおうご	イワサキバシ	Kami-Ogo	上淡河	上淡河	가미오고	神戸市有馬区淡河町野瀬	N35	TRUE	FALSE	1番線
0454	東畑	停留場	東　畑	ひがしばた	シオミバシ	Higashihata	东畑	東畑	히가시바타	神戸市有馬区淡河町東畑	N36	TRUE	FALSE	1番線
0455	淡河	停車場	淡　河	おうご	ナンバ	Ogo	淡河	淡河	오고	神戸市有馬区淡河町淡河	N37	TRUE	TRUE	1番線,2番線
0456	戸田	停留場	戸　田	とだ	バンシュウカモ	Toda	户田	戶田	도다	三木市志染町戸田	N38	TRUE	FALSE	1番線
0457	御坂	停留場	御　坂	みさか	バンシュウナカハマ	Misaka	御坂	禦坂	미사카	三木市志染町御坂	N39	TRUE	FALSE	1番線
0458	中志染	停留場	中志染	なかしじみ	ヒロハタ	Naka-Shijimi	中志染	中志染	나카시지미	三木市志染町志染中	N40	TRUE	FALSE	1番線
0461	中野	停留場	中　野	なかの	バンシュウテンマ	Nakano	中野	中野	나카노	西宮市山口町中野１丁目	N25	TRUE	FALSE	1番線
0470	有馬温泉	停車場	有馬温	ありまおんせん	ヒラマツ	Arima-onsen	有马温泉	有馬溫泉	아리마온센	神戸市有馬区有馬町	N26	TRUE	TRUE	1番線,2番線,引上3番線
0501	出来島	停留場	出来島	できじま	アボシ	Dekijima	出来岛	出來島	데키지마	大阪市西淀川区出来島２丁目	B11	TRUE	FALSE	1番線,2番線
0502	福	停留場	　福　	ふく	サンノウ	Fuku	福	福	후쿠	大阪市西淀川区福町２丁目	B12	TRUE	FALSE	1番線,2番線
0503	伝法	停車場	伝　法	でんぽう	ナカシマ	Denpo	传法	傳法	덴포	大阪市此花区伝法３丁目	B13	TRUE	TRUE	1番線,2番線
0504	千鳥橋	停留場	千鳥橋	ちどりばし	コウチ	Chidoribashi	千鸟桥	千鳥橋	지도리바시	大阪市此花区四貫島１丁目	B14	TRUE	FALSE	1番線,2番線
0510	西九条	停車場	西九条	にしくじょう	ヤマツヤ	Nishi-Kujo	西九条	西九條	니시쿠조	大阪市此花区西九条３丁目	B15	TRUE	TRUE	1番線,2番線
0511	九条	停留場	九　条	くじょう	イボガワハラ	Kujo	九条	九條	구조	大阪市西区九条南２丁目	B16	TRUE	FALSE	1番線,2番線
0512	岩崎橋	停留場	岩崎橋	いわさきばし	チャヤ	Iwasakibashi	岩崎桥	岩崎橋	이와사키바시	大阪市西区千代崎３丁目	B17	TRUE	FALSE	1番線,2番線
0513	汐見橋	停留場	汐見橋	しおみばし	ナバコウ	Shiomibashi	汐见桥	汐見橋	시오미바시	大阪市浪速区桜川３丁目	B18	TRUE	FALSE	1番線,2番線
0520	難波	停車場	難　波	なんば	サカタ	Namba	难波	難波	난바	大阪市中央区難波２丁目	B19,A01	TRUE	TRUE	1番線,2番線,3番線
0601	播州加茂	停留場	播加茂	ばんしゅうかも	コウノ	Banshu-Kamo	播州加茂	播州加茂	반슈카모	姫路市飾磨区加茂	K72	TRUE	FALSE	1番線,2番線
0602	播州中浜	停留場	播中浜	ばんしゅうなかはま	マナゴ	Banshu-Nakahama	播州中滨	播州中濱	반슈나카하마	姫路市飾磨区英賀清水町３丁目	K73	TRUE	FALSE	1番線,2番線
0603	広畑	停車場	広　畑	ひろはた	カスガ	Hirohata	广畑	廣畑	히로하타	姫路市広畑区北野町２丁目	K74	TRUE	TRUE	1番線,2番線
0604	播州天満	停留場	播天満	ばんしゅうてんま	アコウシ	Banshu-Temma	播州天满	播州天滿	반슈텐마	姫路市大津区天満	K75	TRUE	FALSE	1番線,2番線
0605	平松	停留場	平　松	ひらまつ	カリヤ	Hiramatsu	平松	平松	히라마쑤	姫路市大津区平松	K76	TRUE	FALSE	1番線,2番線
0610	網干	停車場	網　干	あぼし	カマヤ	Aboshi	网干	網干	아보시	姫路市網干区垣内中町	K77	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,引上7番線
0614	山王(信)	信号場	山　王	さんのう	シンマイコ	Sanno	山王(信)	山王(信)	산노	たつの市御津町中島	-	TRUE	TRUE	1番線,2番線
0615	中島	停車場	中　島	なかしま	カニガサカ	Nakashima	中岛	中島	나카시마	たつの市御津町中島	K78	TRUE	TRUE	1番線,2番線
0616	河内	停留場	河　内	こうち	ヨシダ	Kochi	河内	河內	고지	たつの市揖保川町市場	K79	TRUE	FALSE	1番線,2番線
0617	山津屋	停留場	山津屋	やまつや	デアイ	Yamatsuya	山津屋	山津屋	야마쑤야	たつの市揖保川町正條	K80	TRUE	FALSE	1番線,2番線
0618	揖保川原	停留場	揖保原	いぼがわはら	タマツ	Ibogawa-Hara	揖保川原	揖保川原	이보가와하라	たつの市揖保川町原	K81	TRUE	FALSE	1番線,2番線
0619	茶屋	停留場	茶　屋	ちゃや	シバサキ	Chaya	茶屋	茶屋	챠야	相生市那波野２丁目	K82	TRUE	FALSE	1番線,2番線
0620	那波港	停車場	那波港	なばこう	ヒラノ	Naba-ko	那波港	那波港	나바코	相生市那波本町	K83	TRUE	TRUE	1番線,2番線,3番線
0621	佐方	停留場	佐　方	さかた	イワオカグチ	Sakata	佐方	佐方	사카타	相生市佐方２丁目	K84	TRUE	FALSE	1番線,2番線
0622	高野	停留場	高　野	こうの	ホウセイ	Kono	高野	高野	고노	赤穂市高野	K85	TRUE	FALSE	1番線,2番線
0623	砂子	停留場	砂　子	まなご	カンデ	Manago	砂子	砂子	마나고	赤穂市浜市	K86	TRUE	FALSE	1番線,2番線
0624	春日	停留場	春　日	かすが	メッコウサングチ	Kasuga	春日	春日	가스가	赤穂市北野中	K87	TRUE	FALSE	1番線,2番線
0630	赤穂市	停車場	赤穂市	あこうし	ヒロタニ	Ako-shi	赤穗市	赤穗市	아코시	赤穂市上町	K88,E31	TRUE	TRUE	1番線,2番線,3番線,引上4番線
0631	苅屋	停留場	苅　屋	かりや	オサハル	Kariya	苅屋	苅屋	가리야	たつの市御津町苅屋	K61	TRUE	FALSE	1番線
0632	釜屋	停車場	釜　屋	かまや	ホウダ	Kamaya	釜屋	釜屋	가마야	たつの市御津町釜屋	K62	TRUE	TRUE	1番線,2番線
0640	新舞子	停車場	新舞子	しんまいこ	タカギ	Shin-Maiko	新舞子	新舞子	신마이코	たつの市御津町黒崎	K63	TRUE	TRUE	1番線,2番線
0700	網干港	停車場	網干港	あぼしこう	アボシコウ	Aboshi-ko	网干港	網干港	아보시코	姫路市網干区新在家	T78	TRUE	TRUE	1番線,2番線
0702	津ノ宮	停留場	津ノ宮	つのみや	ツノミヤ	Tsunomiya	津ノ宫	津ノ宮	쑤노미야	姫路市網干区垣内北町	T76	TRUE	FALSE	1番線,2番線
0703	坂出	停留場	坂　出	さかで	サカデ	Sakade	坂出	坂出	사카데	姫路市網干区坂出	T75	TRUE	FALSE	1番線,2番線
0704	和久	停留場	和　久	わく	ワク	Waku	和久	和久	와쿠	姫路市網干区高田	T74	TRUE	FALSE	1番線,2番線
0705	糸井	停留場	糸　井	いとい	イトイ	Itoi	丝井	絲井	이토이	揖保郡太子町糸井	T73	TRUE	FALSE	1番線,2番線
0706	立岡	停留場	立　岡	たつおか	タツオカ	Tatsuoka	立冈	立岡	다쑤오카	揖保郡太子町立岡	T72	TRUE	FALSE	1番線,2番線
0710	鵤	停車場	　鵤　	いかるが	イカルガ	Ikaruga	鵤	鵤	이카루가	揖保郡太子町鵤	T71	TRUE	TRUE	1番線,2番線,3番線,4番線
0711	太子	停留場	太　子	たいし	タイシ	Taishi	太子	太子	다이시	揖保郡太子町鵤	T70	TRUE	FALSE	1番線,2番線
0712	福田	停留場	福　田	ふくだ	フクダ	Fukuda	福田	福田	후쿠다	龍野市誉田町福田	T69	TRUE	FALSE	1番線,2番線
0713	広山	停留場	広　山	ひろやま	ヒロヤマ	Hiroyama	广山	廣山	히로야마	龍野市誉田町広山	T68	TRUE	FALSE	1番線,2番線
0714	宮脇	停留場	宮　脇	みやわき	ミヤワキ	Miyawaki	宫脇	宮脇	미야와키	龍野市誉田町誉	T67	TRUE	FALSE	1番線,2番線
0720	龍野	停車場	龍　野	たつの	タツノ	Tatsuno	龙野	龍野	다쑤노	龍野市龍野町富永	T66	TRUE	TRUE	1番線,2番線,3番線
0721	日飼	停留場	日　飼	ひがい	ヒガイ	Higai	日饲	日飼	히가이	龍野市龍野町日飼	T64	TRUE	FALSE	1番線,2番線
0722	島田	停留場	島　田	しまだ	シマダ	Shimada	岛田	島田	시마다	龍野市龍野町島田	T63	TRUE	FALSE	1番線,2番線
0723	觜崎	停留場	觜　崎	はしさき	ハシサキ	Hashisaki	觜崎	觜崎	하시사키	龍野市神岡町東觜崎	T62	TRUE	FALSE	1番線,2番線
0724	西觜崎	停留場	西觜崎	にしはしさき	ニシハシサキ	Nishi-Hashisaki	西觜崎	西觜崎	니시하시사키	龍野市新宮町佐野	T61	TRUE	FALSE	1番線,2番線
0725	北村	停留場	北　村	きたむら	キタムラ	Kitamura	北村	北村	기타무라	龍野市新宮町船渡	T60	TRUE	FALSE	1番線,2番線
0726	越部	停留場	越　部	こしべ	コシベ	Koshibe	越部	越部	고시베	龍野市新宮町仙正	T59	TRUE	FALSE	1番線,2番線
0727	井野原	停留場	井野原	いのはら	イノハラ	Inohara	井野原	井野原	이노하라	龍野市新宮町井野原	T58	TRUE	FALSE	1番線,2番線
0730	新宮町	停車場	新宮町	しんぐうちょう	シングウチョウ	Shingu-cho	新宫町	新宮町	신구쵸	龍野市新宮町井野原	T57	TRUE	TRUE	1番線,2番線,3番線
0731	新宮北口	停留場	新宮北	しんぐうきたぐち	シングウキタグチ	Shingu-kitaguchi	新宫北口	新宮北口	신구키타구지	龍野市新宮町新宮	T56	TRUE	FALSE	1番線
0732	宮内	停留場	宮　内	みやうち	ミヤウチ	Miyauchi	宫内	宮內	미야우지	龍野市新宮町下野	T55	TRUE	FALSE	1番線
0733	吉島	停留場	吉　島	よしま	ヨシマ	Yoshima	吉岛	吉島	요시마	龍野市新宮町吉島	T54	TRUE	FALSE	1番線
0734	香島	停留場	香　島	かしま	カシマ	Kashima	香岛	香島	가시마	龍野市新宮町香山	T53	TRUE	FALSE	1番線
0735	宇原口	停留場	宇原口	うわらぐち	ウワラグチ	Uwara-guchi	宇原口	宇原口	우와라구지	龍野市新宮町香山	T52	TRUE	FALSE	1番線
0736	平見	停留場	平　見	ひらみ	ヒラミ	Hirami	平见	平見	히라미	龍野市新宮町香山	T51	TRUE	FALSE	1番線
0737	下比地	停留場	下比地	しもひじ	シモヒジ	Shimohiji	下比地	下比地	시모히지	宍粟市山崎町下比地	T50	TRUE	FALSE	1番線
0738	御名	停留場	御　名	ごみょう	ゴミョウ	Gomyo	御名	禦名	고묘	宍粟市山崎町御名	T49	TRUE	FALSE	1番線
0739	千本屋	停留場	千本屋	せんぼんや	センボンヤ	Senbonya	千本屋	千本屋	센본야	宍粟市山崎町鶴木	T48	TRUE	FALSE	1番線
0740	山崎町	停車場	山崎町	やまさきちょう	ヤマサキチョウ	Yamasaki-cho	山崎町	山崎町	야마사키쵸	宍粟市山崎町鹿沢	T47	TRUE	TRUE	1番線,2番線,3番線
0751	矢田部	停留場	矢田部	やたべ	ヤタベ	Yatabe	矢田部	矢田部	야타베	揖保郡太子町東南	T81	TRUE	FALSE	1番線,2番線
0752	檀特山	停留場	檀特山	だんとくさん	ダントクサン	Dantokusan	檀特山	檀特山	단토쿠산	揖保郡太子町東南	T82	TRUE	FALSE	1番線,2番線
0753	太田	停留場	太　田	おおた	オオタ	Ota	太田	太田	오타	揖保郡太子町太田	T83	TRUE	FALSE	1番線,2番線
0754	原	停留場	　原　	はら	ハラ	Hara	原	原	하라	揖保郡太子町原	T84	TRUE	FALSE	1番線,2番線
0755	山田	停留場	山　田	やまだ	ヤマダ	Yamada	山田	山田	야마다	揖保郡太子町山田	T85	TRUE	FALSE	1番線,2番線
0756	新青山	停留場	新青山	しんあおやま	シンアオヤマ	Shin-Aoyama	新青山	新青山	신아오야마	姫路市青山西３丁目	T86	TRUE	FALSE	1番線,2番線
0760	青山	停車場	青　山	あおやま	アオヤマ	Aoyama	青山	青山	아오야마	姫路市青山２丁目	T87	TRUE	TRUE	1番線,2番線
0761	下手野	停留場	下手野	しもての	シモテノ	Shimo-Teno	下手野	下手野	시모테노	姫路市下手野１丁目	T88	TRUE	FALSE	1番線,2番線
0762	今宿	停留場	今　宿	いまじゅく	イマジュク	Imajuku	今宿	今宿	이마주쿠	姫路市東今宿３丁目	T89	TRUE	FALSE	1番線,2番線
0763	神子岡前	停留場	神子岡	みこおかまえ	ミコオカマエ	Mikooka-mae	神子冈前	神子岡前	미코카마에	姫路市神子岡前３丁目	T90	TRUE	FALSE	1番線,2番線
0764	船場	停留場	船　場	せんば	センバ	Semba	船场	船場	센바	姫路市船橋町５丁目	T91	TRUE	FALSE	1番線,2番線
0765	福沢	停留場	福　沢	ふくざわ	フクザワ	Fukuzawa	福泽	福澤	후쿠자와	姫路市花影町１丁目	T92	TRUE	FALSE	1番線,2番線
1001	てんわ	停留場	てんわ	てんわ	テンワ	Tenwa	鷏和	鷏和	덴와		E30	FALSE	FALSE	1番線
1002	福浦	停留場	福　浦	ふくうら	フクウラ	Fukuura	福浦	福浦	후쿠라		E29	FALSE	FALSE	1番線
1003	寒河	停留場	寒　河	そうご	ソウゴ	Sogo	寒河	寒河	소고		E28	FALSE	FALSE	1番線
1004	日生奥	停留場	日生奥	ひなせおく	ヒナセオク	Hinase-oku	日生奥	日生奧	히나세오쿠		E27	FALSE	FALSE	1番線
1005	東伊里	停留場	東伊里	ひがしいり	ヒガシイリ	Higashi-Iri	东伊里	東伊里	히가시리		E26	FALSE	FALSE	1番線
1006	西伊里	停留場	西伊里	にしいり	ニシイリ	Nishi-Iri	西伊里	西伊里	니시리		E25	FALSE	FALSE	1番線
1007	片上港	停車場	片上港	かたかみこう	カタカミコウ	Katakami-ko	片上港	片上港	가타카미코		E24	FALSE	TRUE	1番線
1008	浦伊部	停留場	浦伊部	うらいんべ	ウラインベ	Ura-Imbe	浦伊部	浦伊部	우라인베		E23	FALSE	FALSE	1番線
1009	伊部	停車場	伊　部	いんべ	インベ	Imbe	伊部	伊部	인베		E22	FALSE	TRUE	1番線
1010	香登	停留場	香　登	かがと	カガト	Kagato	香登	香登	가가토		E21	FALSE	FALSE	1番線
1011	長船	停留場	長　船	おさふね	オサフネ	Osafune	长船	長船	오사후네		E20	FALSE	FALSE	1番線
1012	行幸	停留場	行　幸	みゆき	ミユキ	Miyuki	行幸	行幸	미유키		E19	FALSE	FALSE	1番線
1013	豆田	停留場	豆　田	まめだ	マメダ	Mameda	豆田	豆田	마메다		E18	FALSE	FALSE	1番線
1014	山浦	停留場	山　浦	やまうら	ヤマウラ	Yamaura	山浦	山浦	야마우라		E17	FALSE	FALSE	1番線
1015	今城	停留場	今　城	いまき	イマキ	Imaki	今城	今城	이마키		E16	FALSE	FALSE	1番線
1016	雄神	停留場	雄　神	おがみ	オガミ	Ogami	雄神	雄神	오가미		E15	FALSE	FALSE	1番線
1017	西大寺市	停車場	西大寺	さいだいじし	サイダイジシ	Saidaiji-shi	西大寺市	西大寺市	사이다이지시		E14	FALSE	TRUE	1番線,2番線
1018	金岡	停留場	金　岡	かなおか	カナオカ	Kanaoka	金冈	金岡	가나오카		E13	FALSE	FALSE	1番線,2番線
1019	光政	停留場	光　政	みつまさ	ミツマサ	Mitsumasa	光政	光政	미쑤마사		E12	FALSE	FALSE	1番線,2番線
1020	沖田	停留場	沖　田	おきた	オキタ	Okita	冲田	沖田	오키타		E11	FALSE	FALSE	1番線,2番線
1021	操陽	停留場	操　陽	そうよう	ソウヨウ	Soyo	操阳	操陽	소요		E10	FALSE	FALSE	1番線,2番線
1022	平井	停車場	平　井	ひらい	ヒライ	Hirai	平井	平井	히라이		E09	FALSE	TRUE	1番線,2番線,3番線,4番線
1023	七日市	停留場	七日市	なのかいち	ナノカイチ	Nanokaichi	七日市	七日市	나노카이지		E08	FALSE	FALSE	1番線,2番線
1024	二日市	停留場	二日市	ふつかいち	フツカイチ	Futsukaichi	二日市	二日市	후쑤카이지		E07	FALSE	FALSE	1番線,2番線
1025	備前出屋敷	停留場	備出屋	びぜんでやしき	ビゼンデヤシキ	Bizen-Deyashiki	备前出屋敷	備前出屋敷	비젠데야시키		E06	FALSE	FALSE	1番線,2番線
1026	大元前	停車場	大元前	おおもとまえ	オオモトマエ	Omoto-mae	大元前	大元前	오모토마에		05	FALSE	TRUE	1番線,2番線,3番線,4番線
1027	大学前	停留場	大学前	だいがくまえ	ダイガクマエ	Daigaku-mae	大学前	大學前	다이가쿠마에		04	FALSE	FALSE	1番線,2番線
1028	京橋筋	停留場	京橋筋	きょうばしすじ	キョウバシスジ	Kyobashi-suji	京桥筋	京橋筋	쿄바시스지		03	FALSE	FALSE	1番線,2番線
1029	桑田	停留場	桑　田	くわた	クワタ	Kuwata	桑田	桑田	구와타		02	FALSE	FALSE	1番線,2番線
1030	岡山	停車場	岡　山	おかやま	オカヤマ	Okayama	冈山	岡山	오카야마		01	FALSE	TRUE	1番線,2番線,3番線,4番線
1051	西市	停留場	西　市	にしいち	ニシイチ	Nishiichi	西市	西市	니시지		W06	FALSE	FALSE	1番線,2番線
1052	米倉	停留場	米　倉	よねぐら	ヨネグラ	Yonegura	米仓	米倉	요네구라		W07	FALSE	FALSE	1番線,2番線
1053	大福	停留場	大　福	おおふく	オオフク	Ofuku	大福	大福	오후쿠		W08	FALSE	FALSE	1番線,2番線
1054	妹尾町	停車場	妹尾町	せのおちょう	セノオチョウ	Seno-cho	妹尾町	妹尾町	세노쵸		W09	FALSE	TRUE	1番線,2番線,3番線
1055	赤松	停留場	赤　松	あかまつ	アカマツ	Akamatsu	赤松	赤松	아카마쑤		W10	FALSE	FALSE	1番線,2番線
1056	箕島	停留場	箕　島	みしま	ミシマ	Mishima	箕岛	箕島	미시마		W11	FALSE	FALSE	1番線,2番線
1057	早島町	停車場	早島町	はやしまちょう	ハヤシマチョウ	Hayashima-cho	早岛町	早島町	하야시마쵸		W12	FALSE	TRUE	1番線,2番線,3番線
1058	豊洲	停留場	豊　洲	とよす	トヨス	Toyosu	丰洲	豐洲	도요스		W13	FALSE	FALSE	1番線,2番線
1059	北浦	停留場	北　浦	きたうら	キタウラ	Kitaura	北浦	北浦	기타우라		W14	FALSE	FALSE	1番線,2番線
1060	倉敷	停車場	倉　敷	くらしき	クラシキ	Kurashiki	仓敷	倉敷	구라시키		W15	FALSE	TRUE	1番線,2番線,3番線,4番線
1061	富井	停留場	富　井	とみい	トミイ	Tomii	富井	富井	도미		W16	FALSE	FALSE	1番線,2番線
1062	浦田	停留場	浦　田	うらだ	ウラダ	Urada	浦田	浦田	우라다		W17	FALSE	FALSE	1番線,2番線
1063	連島	停車場	連　島	つらじま	ツラジマ	Tsurajima	连岛	連島	쑤라지마		W18	FALSE	TRUE	1番線,2番線,3番線
1064	西之浦	停留場	西之浦	にしのうら	ニシノウラ	Nishinoura	西之浦	西之浦	니시노라		W19	FALSE	FALSE	1番線,2番線
1065	狐島	停留場	狐　島	きつねじま	キツネジマ	Kitsunejima	狐岛	狐島	기쑤네지마		W20	FALSE	FALSE	1番線,2番線
1066	玉島	停車場	玉　島	たましま	タマシマ	Tamashima	玉岛	玉島	다마시마		W21	FALSE	TRUE	1番線,2番線,3番線,4番線
1067	赤崎	停留場	赤　崎	あかさき	アカサキ	Akasaki	赤崎	赤崎	아카사키		W22	FALSE	FALSE	1番線
1068	元浜	停留場	元　浜	もとはま	モトハマ	Motohama	元滨	元濱	모토하마		W23	FALSE	FALSE	1番線
1069	黒崎	停留場	黒　崎	くろさき	クロサキ	Kurosaki	黑崎	黑崎	구로사키		W24	FALSE	FALSE	1番線
1070	沙美	停留場	沙　美	さみ	サミ	Sami	沙美	沙美	사미		W25	FALSE	FALSE	1番線
1071	西沙美	停留場	西沙美	にしさみ	ニシサミ	Nishi-Sami	西沙美	西沙美	니시사미		W26	FALSE	FALSE	1番線
1072	南浦	停留場	南　浦	なんぽ	ナンポ	Nampo	南浦	南浦	난포		W27	FALSE	FALSE	1番線
1073	寄島	停車場	寄　島	よりしま	ヨリシマ	Yorishima	寄岛	寄島	요리시마		W28	FALSE	TRUE	1番線,2番線,3番線
1074	青佐	停留場	青　佐	あおさ	アオサ	Aosa	青佐	青佐	아오사		W29	FALSE	FALSE	1番線
1075	山代	停留場	山　代	やましろ	ヤマシロ	Yamashiro	山代	山代	야마시로		W30	FALSE	FALSE	1番線
1076	備中西大島	停留場	備西大	びっちゅうにしおおしま	ビッチュウニシオオシマ	Bitchu-Nishi-Oshima	备中西大岛	備中西大島	빗츄니시오시마		W31	FALSE	FALSE	1番線
1077	名切	停留場	名　切	なきり	ナキリ	Nakiri	名切	名切	나키리		W32	FALSE	FALSE	1番線
1078	樋守	停留場	樋　守	ひもり	ヒモリ	Himori	樋守	樋守	히모리		W33	FALSE	FALSE	1番線
1079	大磯	停留場	大　磯	おおいそ	オオイソ	Oiso	大矶	大磯	오이소		W34	FALSE	FALSE	1番線
1080	笠岡	停車場	笠　岡	かさおか	カサオカ	Kasaoka	笠冈	笠岡	가사오카		W35	FALSE	TRUE	1番線,2番線,3番線
1101	近鉄日本橋	停留場	日本橋	きんてつにっぽんばし	キンテツニッポンバシ	Kintetsu-Nippombashi	近铁日本桥	近鐵日本橋	긴테쑤닛폰바시		A02	FALSE	FALSE	1番線,2番線
1102	大阪上本町	停車場	上本町	おおさかうえほんまち	オオサカウエホンマチ	Osaka-Uehommachi	大阪上本町	大阪上本町	오사카우에혼마지		A03	FALSE	TRUE	1番線,2番線
1103	鶴橋	停車場	鶴　橋	つるはし	ツルハシ	Tsuruhashi	鹤桥	鶴橋	쑤루하시		A04	FALSE	TRUE	1番線,2番線,3番線,4番線
1104	今里	停留場	今　里	いまざと	イマザト	Imazato	今里	今里	이마자토		A05	FALSE	FALSE	1番線,2番線,3番線,4番線
1105	布施	停車場	布　施	ふせ	フセ	Fuse	布施	布施	후세		A06	FALSE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,7番線,8番線
1106	河内永和	停留場	河永和	かわちえいわ	カワチエイワ	Kawachi-Eiwa	河内永和	河內永和	가와지에와		A07	FALSE	FALSE	1番線,2番線
1107	河内小阪	停留場	河小阪	かわちこさか	カワチコサカ	Kawachi-Kosaka	河内小阪	河內小阪	가와지코사카		A08	FALSE	FALSE	1番線,2番線
1108	八戸ノ里	停車場	八戸里	やえのさと	ヤエノサト	Yaenosato	八户ノ里	八戶ノ里	야에노사토		A09	FALSE	TRUE	1番線,2番線,3番線,4番線
1109	若江岩田	停留場	若江岩	わかえいわた	ワカエイワタ	Wakae-Iwata	若江岩田	若江岩田	와카에와타		A10	FALSE	FALSE	1番線,2番線
1110	河内花園	停留場	河花園	かわちはなぞの	カワチハナゾノ	Kawachi-Hanazono	河内花园	河內花園	가와지하나조노		A11	FALSE	FALSE	1番線,2番線
1111	東花園	停車場	東花園	ひがしはなぞの	ヒガシハナゾノ	Higashi-Hanazono	东花园	東花園	히가시하나조노		A12	FALSE	TRUE	1番線,2番線,3番線,4番線
1112	瓢箪山	停車場	瓢箪山	ひょうたんやま	ヒョウタンヤマ	Hyotanyama	瓢箪山	瓢箪山	효탄야마		A13	FALSE	TRUE	1番線,2番線,3番線,4番線,引上5番線
1113	枚岡	停留場	枚　岡	ひらおか	ヒラオカ	Hiraoka	枚冈	枚岡	히라오카		A14	FALSE	FALSE	1番線,2番線
1114	額田	停留場	額　田	ぬかた	ヌカタ	Nukata	额田	額田	누카타		A15	FALSE	FALSE	1番線,2番線
1115	石切	停車場	石　切	いしきり	イシキリ	Ishikiri	石切	石切	이시키리		A16	FALSE	TRUE	1番線,2番線,3番線,4番線
1116	生駒	停車場	生　駒	いこま	イコマ	Ikoma	生驹	生駒	이코마		A17	FALSE	TRUE	1番線,2番線
1117	東生駒	停車場	東生駒	ひがしいこま	ヒガシイコマ	HigashiIkoma	东生驹	東生駒	히가시코마		A18	FALSE	TRUE	1番線,2番線,3番線,4番線
